;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z7 - Zoznam prípravkov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Názov prípravku;2 Chemická látka;3 âíslo autorizácie;4 DrÏiteº;4b DrÏiteº názov;5 Formulácia;6 Funkcia prípravku;;7 Dátum ukonãenia platnosti autorizácie;8 Typ pouÏívateºa;9a Paraleln˘ obchod;9b Paraleln˘ obchod;10 Identická autorizácia;11 Typ prípravku;12 Referenãn˘ prípravok;13 Dátum ukonãenia predaja;14 Dátum ukonãenia spotreby;15 Stav rozhodnutia;16 SIGNAL;17 GHS;18 EUH;19 H;20 P;21 PHO;22 SP;23 V;24 Vc;25 Vo;26 Vt;27 Z
;VINOSTAR;Dimethomorph (113.000 g/kg),Folpet (600.000 g/kg);15-02-1520;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;F;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H319,H351,H410;P201,P273,P280,P305+P351+P338,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;AZIZA;Azoxystrobin (200.000 g/l),Isopyrazam (125.000 g/l);20–00926-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;31.03.2024;Profi;N;N;N;Pripravok;;30.09.2024;30.09.2025;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH208,EUH401;H319,H361d,H410;P102,P201,P264,P280,P305+P351+P338,P308+P313,P337+P313,P391,P501;-;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;BONTIMA;Cyprodinil (187.500 g/l),Isopyrazam (62.500 g/l);18-00260-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;F;;30.04.2021;Profi;N;N;N;Pripravok;;30.10.2021;30.10.2022;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH208,EUH401;H304,H332,H351,H361d,H410;P102,P261,P264,P270,P273,P280,P301+P310,P304+P340,P308+P313,P331,P391,P501;PHO5;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;TOMIGAN 250 EC;Fluroxypyr (250.000 g/l);16-11-1751;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.12.2022;Profi;N;N;N;Pripravok;;30.06.2023;30.06.2024;autorizovany;Nebezpeãenstvo;GHS02,GHS07,GHS08,GHS09;EUH066,EUH401;H226,H304,H319,H335,H336,H411;P202,P210,P243,P261,P273,P280,P301+P310,P305+P351+P338,P331,P391,P405,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;SULCOTREK;Sulcotrione (173.000 g/l),Terbuthylazine (327.000 g/l);16-11-1815;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;H;;31.08.2023;Profi;N;N;N;Pripravok;;28.02.2024;28.02.2025;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H302,H317,H361d,H373,H410;P201,P260,P273,P280,P302+P352,P308+P313,P391,P501;PHO4;SP 1,SPe 1,SPe 2,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;SUPER CHAMPION K ;Deltamethrin (0.030 g/kg);06-MB-0628;ADL;ADLENKA s.r.o.;EW;I;;31.10.2019;Neprofi;N;N;N;Pripravok;;30.04.2020;30.04.2021;spotreba;Pozor;GHS09;EUH401;H410;P102,P273,P391,P501;N/A;;0;N;Vo2;Vt5;Z4
;SMARTFRESH;1-Methyl-cyclopropene (33.000 g/kg);16-14-1826;AFH;AGROFRESH Holding France S.A.S;VP;MO;;31.10.2019;Profi;N;N;N;Pripravok;;30.04.2020;30.04.2021;spotreba;NepoÏaduje sa;Bez GHS;EUH401;H412;P102,P201,P270,P273,P280,P401,P501;;SP 1;V - bez oznaãenia;N;Vo1;Vt5;Z4
;SmartFresh ProTabs;1-Methyl-cyclopropene (20.000 g/kg);16-14-1840;AFH;AGROFRESH Holding France S.A.S;TB;MO;;31.10.2024;Profi;N;N;N;Pripravok;;30.04.2025;30.04.2026;autorizovany;Pozor;Bez GHS;EUH401;H412;P102,P270,P280,P501;;SP 1;V3;N;Vo3;Vt5;Z4
;LEOPARD 5 EC;Quizalofop-P-ethyl (50.000 g/l);15-11-1658;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;H;;30.11.2022;Profi;N;N;N;Pripravok;;31.05.2023;31.05.2024;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH066,EUH401;H304,H319,H336,H411;P261,P273,P280,P305+P351+P338,P331,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;AFALON 45 SC;Linuron (450.000 g/l);15-11-1554;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;03.06.2017;Profi;N;N;N;Pripravok;;03.12.2017;03.06.2018;neautorizovany;;;;;;N/A;SP 1,SPe 3;V3;Vã3;Vo2;Vt4;Z3
;LEANDER;Fenpropidin (750.000 g/l);15-02-1569;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;F;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Nebezpeãenstvo;GHS05,GHS07,GHS09;EUH066,EUH208,EUH401;H302 + H312 + H332,H318,H335,H410;P261,P270,P280,P302+P352,P304+P340,P305+P351+P338,P501;-;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;LINUREX 50 SC;Linuron (500.000 g/l);15-11-1574;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;03.06.2017;Profi;N;N;N;Pripravok;;03.12.2017;03.06.2018;neautorizovany;;;;;;;;;;;;
;MODOWN 4 F;Bifenox (480.000 g/l);15-11-1580;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P102,P501;;;V3;Vã3;Vo1;Vt5;Z4
;TOLUREX 50 SC;Chlorotoluron (500.000 g/l);15-11-1555;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.10.2021;Profi;N;N;N;Pripravok;;30.04.2022;30.04.2023;autorizovany;Pozor;GHS08,GHS09;EUH201,EUH401;H351,H361d,H410;P201,P273,P280,P501;;SPo 2;V3;Vã3;Vo2;Vt5;Z4
;APOLLO 50 SC;Clofentezine (500.000 g/l);15-05-1603;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;I;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;NepoÏaduje sa;GHS09;EUH208,EUH401;H411;P501;-;SP 1;V3;Vã3;Vo3;Vt5;Z4
;MAVRIK;tau-Fluvalinate (240.000 g/l);17-00098-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;EW;I;;31.05.2021;Profi;N;N;N;Pripravok;;30.11.2021;30.11.2022;autorizovany;Pozor;GHS09;EUH401;H410;P102,P270,P273,P280,P391,P501;;SP 1,SPe 3;V3;Vã2,Vã3;Vo1;Vt5;Z4
;KONTAKTTWIN;Ethofumesate (94.000 g/l),Phenmedipham (97.000 g/l);15-11-1523;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;H;;31.07.2018;Profi;N;N;N;Pripravok;;31.01.2019;31.01.2020;neautorizovany;;GHS07,GHS08,GHS09;EUH401;H304,H332,H411;P102,P261,P270,P273,P280,P304+P340,P331,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;NIMROD;Bupirimate (250.000 g/l);18-00416-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;F;;31.05.2025;Profi;N;N;N;Pripravok;;30.11.2025;30.11.2026;autorizovany;Nebezpeãenstvo;GHS02,GHS07,GHS08,GHS09;EUH066,EUH208,EUH401;H226,H304,H319,H335,H351,H410;P102,P201,P210,P243,P261,P273,P280,P301+P310,P302+P352,P304+P340,P305+P351+P338,P308+P313,P331,P391,P403+P233,P405,P501;;SP 1;V3;Vã3;Vo1;Vt5;Z4
;SANVINO;Amisulbrom (50.000 g/kg),Folpet (500.000 g/kg);18-00398-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;F;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH208,EUH401;H315,H317,H319,H332,H351,H410;P201,P261,P273,P280,P302+P352,P304+P340,P305+P351+P338,P391,P405,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;FOLPAN GOLD;Folpet (400.000 g/kg),Metalaxyl-M (48.500 g/kg);19-00652-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;F;;30.06.2021;Profi;N;N;N;Pripravok;;30.12.2021;30.12.2022;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H319,H332,H351,H410;P201,P261,P273,P280,P302+P352,P304+P340,P308+P313,P333+P313,P362+P364,P391,P405,P501;-;SP 1,SPe 2;V3;Vã3;Vo1;Vt5;Z4
;SPYRALE;Difenoconazole (100.000 g/l),Fenpropidin (375.000 g/l);19-00653-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;F;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH208,EUH401;H302,H304,H315,H319,H332,H335,H373,H410;P101,P102,P261,P264,P270,P273,P280,P301+P310,P302+P352,P304+P340,P305+P351+P338,P314,P330,P331,P332+P313,P337+P313,P391,P405,P501;;SP 1,SPe 3,SPe 4;V3;Vã3;Vo1;Vt5;Z4
;SCOLYCID C;basic violet (2.000 %);15-20-1644;AGF;AGROFERT, a.s., organizaãná zloÏka Agrochémia;EC;FA,IN;;11.09.2030;Profi;N;N;N;Pomocny;;11.03.2031;11.03.2032;autorizovany;Nebezpeãenstvo;GHS02,GHS07;EUH401;H225,H315,H319,H413;P102,P210,P233,P262,P270,P273,P280,P301+P330+P331,P302+P352,P305+P351+P338,P315,P391,P501;;SP 1;V - bez oznaãenia;Vc - bez oznaãenia;Vo - bez oznaãenia;Vt - bez oznaãenia;Z- bez oznaãenia
;ISTROEKOL;Metylester repkového oleja (80.000 %);12-20-1277;AGF;AGROFERT, a.s., organizaãná zloÏka Agrochémia;EC;INE;;12.09.2021;Profi;N;N;N;Pomocny;;12.03.2022;12.03.2023;autorizovany;Pozor;GHS07;EUH401;H319;P264,P280,P305+P351+P338,P337+P313;;;;;;;
;SYNBETAN P FORTE;-;18-00385-PO;AGF;AGROFERT, a.s., organizaãná zloÏka Agrochémia;EC;-;;;;A;A;N;Pripravok;;;;neautorizovany;;;;;;;;;;;;
;SULFURUS;Sulphur (796.000 g/kg);16-02-1762;AGL;AGROSTULLN GmbH;WG;F;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;NepoÏaduje sa;Bez GHS;EUH210,EUH401;H - bez oznaãenia;P102,P270,P501;;SP 1;V3;Vã2;Vo4;Vt5;Z4
;FENCE;Flufenacet (formerly fluthiamide) (480.000 g/l);18-00395-AU;ALB;ALBAUGH TKI d.o.o.;SC;H;;31.10.2021;Profi;N;N;N;Pripravok;;30.04.2022;30.04.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH208,EUH401;H302,H373,H410;P270,P273,P280,P301+P312,P391,P501;PHO1;SP 1,SPe 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;ASSYNT;Tribenuron (aka metometuron) (482.300 g/kg);19-00430-AU;ALB;ALBAUGH TKI d.o.o.;SG;H;;31.10.2025;Profi;N;N;N;Pripravok;;30.04.2026;30.04.2027;autorizovany;Pozor;GHS07,GHS09;EUH208,EUH401;H317,H319,H410;P261,P273,P280,P305+P351+P338,P333+P313,P337+P313,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;CLOMATE;Clomazone (360.000 g/l);18-00403-AU;ALB;ALBAUGH TKI d.o.o.;CS;H;;31.10.2021;Profi;N;N;N;Pripravok;;30.04.2022;30.04.2023;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H - bez oznaãenia;P102,P270,P280,P501;;SP 1;V3;Vã3;Vo2;Vt5;Z4
;BOOM EFEKT;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);08-11-1028;ALB;ALBAUGH TKI d.o.o.;SL;H;;31.12.2023;Profi;N;N;N;Pripravok;;30.06.2024;30.06.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H - bez oznaãenia;P102,P280,P501;;SP 1;V3;Vã3;Vo4;Vt5;Z4
;BARRACUDA;Mesotrione (100.000 g/l);18-00394-AU;ALB;ALBAUGH TKI d.o.o.;SC;H;;31.07.2023;Profi;N;N;N;Pripravok;;31.01.2024;31.01.2025;autorizovany;Nebezpeãenstvo;GHS05,GHS07,GHS09;EUH401;H317,H318,H410;P261,P273,P280,P302+P352,P305+P351+P338,P310,P333+P313,P391,P501;;SP 1,SPe 3,SPo 2;V3;Vã3;Vo1;Vt5;Z4
;DOMINATOR MAX;Glyphosate (incl trimesium aka sulfosate) (480.000 g/l);18-00404-AU;ALB;ALBAUGH TKI d.o.o.;SL;H;;31.12.2023;Profi;N;N;N;Pripravok;;30.06.2024;30.06.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H412;P273,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;COSMIC;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);01-11-0589;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);SL;H;;31.12.2023;Profi;N;N;N;Pripravok;;30.06.2024;30.06.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P101,P102,P501;;;V3;Vã3;Vo4;Vt5;Z4
;JETSTAR;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);01-11-0590;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);SL;H;;30.06.2017;Profi;N;N;N;Pripravok;;31.12.2017;31.12.2018;neautorizovany;;;EUH401;;P101,P102,P501;-;-;V3;Vã3;Vo4;Vt5;Z4
;KAPAZIN;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);00-11-0542;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);SL;H;;31.12.2023;Profi;N;N;N;Pripravok;;30.06.2024;30.06.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P101,P102,P501;;;V3;Vã3;Vo4;Vt5;Z4
;BANKO 500 SC;Chlorothalonil (500.000 g/l);13-02-1314;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);SC;F;;20.11.2019;Profi;N;N;N;Pripravok;;20.05.2020;20.05.2020;neautorizovany;Nebezpeãenstvo;GHS05,GHS07,GHS08,GHS09;EUH401;H317,H318,H335,H351,H410;P201,P202,P280,P302+P352,P305+P351+P338,P405,P501;PHO4;SP 1,SPe 3;V3;;Vo1;Vt5;Z4
;CARPOVIRUSINE;Cydia pomonella Granulovirus (CpGV) (1.000x10?? CFU/L);12-05-1291;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);SC;I;;30.04.2021;Profi;N;N;N;Pripravok;;31.10.2021;31.10.2022;autorizovany;NepoÏaduje sa;Bez GHS;EUH208,EUH401;H - bez oznaãenia;P102,P261,P272,P280,P302+P352,P333+P313,P363,P501;;SP 1;V3;Vc - bez oznaãenia;Vo4;Vt5;Z4
;SELECT SUPER;Clethodim (120.000 g/l);16-11-1858;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);EC;H;;31.05.2022;Profi;N;N;N;Pripravok;;30.11.2022;30.11.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH066,EUH208,EUH401;H304,H336,H411;P102,P201,P261,P271,P273,P301+P310,P312,P331,P391,P403+P233,P405,P420,P501;PHO3;SP 1,SPe 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;TARGA 10 EC;Quizalofop-P-ethyl (100.000 g/l);15-11-1524;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);EC;H;;30.11.2022;Profi;N;N;N;Pripravok;;30.05.2023;30.05.2024;autorizovany;Nebezpeãenstvo;GHS05,GHS08,GHS09;;H304,H318,H411;P273,P280,P310,P331,P391,P405,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;JETSTAR;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);10-MB-0685;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);SL;H;;30.06.2017;Neprofi;N;N;N;Pripravok;;31.12.2017;31.12.2018;neautorizovany;;;EUH401;;P101,P102,P501;-;-;V3;Vã3;Vo4;Vt5;Z4
;KAPAZIN;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);10-MB-0684;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);SL;H;;31.12.2023;Neprofi;N;N;N;Pripravok;;30.06.2024;30.06.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P101,P102,P501;;;V3;Vã3;Vo4;Vt5;Z4
;COSMIC;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);10-MB-0686;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);SL;H;;31.12.2023;Neprofi;N;N;N;Pripravok;;30.06.2024;30.06.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P101,P102,P501;;SP 1;V3;Vã3;Vo4;Vt5;Z4
;APACHE 50 WG;Clothianidin (500.000 g/kg);11-05-1217;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);WG;I;;19.09.2018;Profi;N;N;N;Pripravok;;19.12.2018;19.12.2018;neautorizovany;Pozor;GHS07,GHS09;EUH401;H302,H317,H410;P273,P301+P312,P302+P352,P363,P501;PHO3;SP 1,SPe 3,SPe 8;V3;Vã1;Vo1;Vt5;Z4
;MALVIN WG;Captan (800.000 g/kg);13-02-1326;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);WG;F;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Nebezpeãenstvo;GHS05,GHS08,GHS09;EUH401;H317,H318,H351,H410;P202,P280,P302+P352,P305+P351+P338,P308+P313,P405,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;CENTURION PLUS;Clethodim (120.000 g/l);14-11-1419;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);EC;H;;31.05.2021;Profi;N;N;N;Pripravok;;30.11.2021;30.11.2022;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH066,EUH208,EUH401;H304,H336,H411;P102,P201,P261,P270,P271,P301+P310,P312,P331,P391,P403+P233,P405,P420,P501;PHO3;SP 1,SPe 1;V3;Vã3;Vo2;Vt5;Z4
;CLIOPHAR 600 SL;Clopyralid (600.000 g/l);16-11-1802;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;SL;H;;30.04.2021;Profi;N;N;N;Pripravok;;30.10.2021;30.10.2022;autorizovany;Pozor;GHS09;EUH401;H410,H412;P273,P280,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;SPIROX D;Difenoconazole (50.000 g/l),Spiroxamine (400.000 g/l);18-00346-AU;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;EC;F;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS07,GHS09;EUH066,EUH401;H302,H317,H319,H361d,H373,H410;P202,P261,P270,P273,P280,P301+P312,P302+P352,P305+P351+P338,P333+P313,P337+P313,P391,P501;-;SP 1,SPe 3,SPe 4,SPe 8;V3;Vã3;Vo2;Vt5;Z4
;CYPERKILL MAX;Cypermethrin (500.000 g/l);16-05-1830;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;EC;I;;31.10.2021;Profi;N;N;N;Pripravok;;30.04.2022;30.04.2023;autorizovany;Nebezpeãenstvo;GHS02,GHS05,GHS07,GHS08,GHS09;EUH401;H226,H304,H315,H318,H332,H335,H336,H410;P201,P210,P261,P273,P280,P301+P310,P302+P352,P304+P340,P305+P351+P338,P331,P501;;SP 1,SPe 3,SPe 8;V3;Vã1;Vo1;Vt5;Z1
;FORESTER;Cypermethrin (100.000 g/l);12-05-1246;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;EW;I;;31.10.2018;Profi;N;N;N;Pripravok;;30.04.2019;30.04.2020;neautorizovany;Pozor;GHS07,GHS09;EUH401;H302,H317,H410;P261,P270,P280,P302+P352,P333+P313,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z1
;SYLLIT 400 SC;Dodine (400.000 g/l);12-02-1236;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;SC;F;;31.05.2021;Profi;N;N;N;Pripravok;;30.11.2021;30.11.2022;autorizovany;Nebezpeãenstvo;GHS05,GHS09;EUH208,EUH401;H315,H318,H400,H410;P280,P302+P352,P305+P351+P338,P310,P501;-;SP 1,SPo 2;V3;Vã3;Vo1;Vt5;Z4
;METRIPHAR 70 WG;Metribuzin (700.000 g/kg);07-11-0877;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;WG;H;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Pozor;GHS07,GHS09;EUH401;H302,H410;P280,P333+P313,P501;;;V3;Vã3;Vo1;Vt5;Z3
;CYPERKILL 25 EC;Cypermethrin (250.000 g/l);06-05-0843;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;EC;I;;31.10.2018;Profi;N;N;N;Pripravok;;30.04.2019;30.04.2020;neautorizovany;Nebezpeãenstvo;GHS02,GHS05,GHS07,GHS08,GHS09;EUH401;H226,H302,H304,H315,H318,H335,H336,H410;P210,P261,P270,P280,P301+P310,P302+P352,P305+P351+P338,P331,P501;;SP 1;V2;Vã3;Vo1;Vt5;Z1
;CLIOPHAR 300 SL;Clopyralid (300.000 g/l);06-11-0852;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;SL;H;;30.04.2021;Profi;N;N;N;Pripravok;;30.10.2021;30.10.2022;autorizovany;Pozor;GHS09;EUH401;H - bez oznaãenia,H410;P - Bez oznaãenia,P273,P391,P501;-;SP 1;V3;Vã3;Vo3;Vt5;Z4
;ZOXIS;Azoxystrobin (250.000 g/l);19-00631-AU;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;SC;F;;31.12.2025;Profi;N;N;N;Pripravok;;30.06.2026;30.06.2027;autorizovany;Pozor;GHS07,GHS09;EUH401;H317,H332,H410;P261,P273,P280,P302+P352,P304+P340,P311,P333+P313,P391,P501;PHO4;SP 1,SPe 1,SPe 2,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;SYLLIT 544 SC;Dodine (544.000 g/l);20-00727-AU;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;SC;F;;31.05.2025;Profi;N;N;N;Pripravok;;30.11.2025;30.11.2026;autorizovany;Nebezpeãenstvo;GHS05,GHS07,GHS09;EUH208,EUH401;H302,H315,H318,H332,H410;P101,P102,P264,P270,P280,P305+P351+P338,P308+P311,P330,P332+P313,P362+P364,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;PROXANIL;Cymoxanil (50.000 g/l),Propamocarb (335.000 g/l);19-00638-AU;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;SC;F;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Pozor;GHS05,GHS07,GHS08,GHS09;EUH401;H290,H317,H361fd,H411;P201,P202,P234,P261,P273,P280,P302+P352,P308+P313,P333+P313,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo2;Vt5;Z4
;NURELLE D;Cypermethrin (50.000 g/l),Chlorpyrifos (500.000 g/l);17-00024-AU;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;EC;I;;16.02.2020;Profi;N;N;N;Pripravok;;16.04.2020;16.04.2020;neautorizovany;Pozor;GHS02,GHS06,GHS08,GHS09;EUH401;H226,H301,H304,H315,H319,H332,H335,H336,H410;P210,P261,P280,P301+P310,P305+P351+P338,P331,P501;;SP 1,SPe 3;V2;Vã1;Vo1;Vt4;Z1
;PAKET 250 EC;Trinexapac (aka cimetacarb ethyl) (222.150 g/l);16-14-1872;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;EC;MO;;30.04.2021;Profi;N;N;N;Pripravok;;31.10.2021;31.10.2022;autorizovany;Pozor;GHS07;EUH401;H317,H319,H412;P102,P261,P270,P272,P273,P280,P302+P352,P305+P351+P338,P308+P313,P333+P313,P337+P313,P363,P391,P501;;SP 1;V3;Vã3;Vo2;Vt5;Z4
;PYRUS 400 SC;Pyrimethanil (400.000 g/l);17-00062-AU;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;SC;F;;30.04.2021;Profi;N;N;N;Pripravok;;31.10.2021;31.10.2022;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H411;P273,P280,P391,P501;;SP 1,SPe 3,SPe 4;V3;Vã3;Vo2;Vt5;Z4
;NURELLE;Cypermethrin (40.000 g/l),Chlorpyrifos-methyl (400.000 g/l);18-00268-AU;ARB;ARYSTA LIFESCIENCE BENELUX SPRL;EC;I;;16.02.2020;Profi;N;N;N;Pripravok;;16.04.2020;16.04.2020;neautorizovany;Nebezpeãenstvo;GHS05,GHS07,GHS08,GHS09;EUH066,EUH401;H302,H304,H315,H317,H318,H336,H410;P201,P261,P273,P280,P301+P310,P302+P352,P304+P340,P305+P351+P338,P331,P391,P405,P501;;SP 1,SPe 3,SPe 8;V3;Vã1;Vo1;Vt5;Z1
;NEOPONIT L;Limestone (750.000 g/kg);10-09-1135;ARD;Agro Radomy‰l a.s.;PA;RE;;31.08.2019;Profi;N;N;N;Pripravok;;28.02.2020;28.02.2021;neautorizovany;Pozor;GHS07;EUH - bez oznaãenia;H319,H335;P102,P270,P301,P302+P352,P305+P351+P338,P338,P401;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;DIMILIN 48 SC;Diflubenzuron (480.000 g/l);16-05-1847;ARL;ARYSTA LIFESCIENCE GREAT BRITAIN LIMITED ;SC;I;;31.12.2020;Profi;N;N;N;Pripravok;;30.06.2021;30.06.2022;dopredaj;Pozor;GHS09;EUH208,EUH401;H410;P273,P391,P501;;SP 1,SPe 3,SPe 8;V3;Vã3;Vo1;Vt5;Z4
;VITAVAX ROYAL;Carboxin (200.000 g/l),Thiram (200.000 g/l);16-01-1789;ARL;ARYSTA LIFESCIENCE GREAT BRITAIN LIMITED ;FS;F;;30.01.2019;Profi;N;N;N;Pripravok;;30.07.2019;30.01.2020;neautorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H315,H317,H319,H373,H410;P260,P273,P280,P314,P333+P313,P337+P313,P391,P501;PHO3;SP 1;V3;Vã3;Vo1;Vt5;Z1
